FID,X,Y,Call_Taken,Location,Day
1186,0,0,2016-02-04T00:00:00.000Z,821 e 15TH st,Day 3
1187,-10380764.007632,5623238.874598,2016-02-04T00:00:00.000Z,729 23rd ave ne,Day 3
1188,-10384200.894062,5615478.664175,2016-02-04T00:00:00.000Z,2123 pleasant av s,Day 3
1189,-10380770.580279,5623238.868748,2016-02-04T00:00:00.000Z,725 23rd Ave NE,Day 3
1190,-10385067.347928,5625355.722407,2016-02-04T00:00:00.000Z,3821 BRYANT AVE N,Day 3
1191,-10378764.833015,5619167.957034,2016-02-04T00:00:00.000Z,807 13th ave se,Day 3
1192,-10379974.332568,5618824.72231,2016-02-04T00:00:00.000Z,301 8th ave SE,Day 3
1193,-10380773.866603,5623238.865823,2016-02-04T00:00:00.000Z,723 23rd Ave NE,Day 3
1194,-10379695.456854,5619325.471437,2016-02-04T00:00:00.000Z,625 8th ave se,Day 3
1195,-10387456.070647,5622765.568462,2016-02-04T00:00:00.000Z,2703 Sheridan north,Day 3
1196,-10380276.941037,5619013.670509,2016-02-04T00:00:00.000Z,309 6th ave SE,Day 3
1197,-10381911.388862,5610304.524147,2016-02-04T00:00:00.000Z,815 41st st e,Day 3
1198,-10386320.53939,5619807.19674,2016-02-04T00:00:00.000Z,1117 Knox ave n,Day 3
1199,-10384933.867208,5611364.898808,2016-02-04T00:00:00.000Z,3723 Aldrich Ave South,Day 3
1200,-10384275.48703,5615806.070642,2016-02-04T00:00:00.000Z,331 RIDGEWOOD AVE S,Day 3
1201,-10387752.317065,5625384.129703,2016-02-04T00:00:00.000Z,3823 Upton north,Day 3
1202,-10384041.644367,5615822.524266,2016-02-04T00:00:00.000Z,225 RIDGEWOOD AVE S,Day 3
1203,-10380270.474933,5619025.37915,2016-02-04T00:00:00.000Z,317 6th Ave SE,Day 3
1204,-10384022.628602,5614222.418984,2016-02-04T00:00:00.000Z,2705 pillsbury ave s,Day 3
1205,-10380306.757007,5619624.248198,2016-02-04T00:00:00.000Z,425 6th st se,Day 3
1206,-10386356.537365,5622311.18331,2016-02-04T00:00:00.000Z,1709 25th ave n,Day 3
1207,-10377098.90248,5619646.636182,2016-02-04T00:00:00.000Z,1005 24th ave se,Day 3
1208,-10384934.183138,5611304.668153,2016-02-04T00:00:00.000Z,3745 Aldrich Ave South,Day 3
1209,-10387198.217121,5626259.043269,2016-02-04T00:00:00.000Z,4131 QUEEN AVE N,Day 3
1210,-10385785.661481,5626928.020019,2016-02-04T00:00:00.000Z,4347 Girard ave n,Day 3
1211,-10387203.786315,5626644.168952,2016-02-04T00:00:00.000Z,4259 QUEEN AVE N,Day 3
1212,-10376998.771601,5619522.480565,2016-02-04T00:00:00.000Z,939 WEEKS AVE SE,Day 3
1213,-10387751.74774,5625351.231446,2016-02-04T00:00:00.000Z,3811 Upton Ave N,Day 3
1214,-10377212.69661,5617471.207907,2016-02-04T00:00:00.000Z,2531 4th st se,Day 3
